Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
22,Shreyas Iyer,Batter,1,0,c Ravindra Jadeja b Mustafizur,Ravindra Jadeja,34,32,3,0,106.25,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Venkatesh Iyer,Allrounder,0,0,c Daryl Mitchell b Ravindra Jadeja,Daryl Mitchell,3,8,0,0,37.50,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Daryl Mitchell,Allrounder,0,0,b Narine,Sunil Narine,25,19,1,1,131.58,0.0,0,0,0,0,0,0,0.0,2,0.0,0
22,Ramandeep Singh,Batter,0,0,b M Theekshana,Maheesh Theekshana,13,12,0,1,108.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Rinku Singh,Batter,0,0,b Tushar Deshpande,Tushar Deshpande,9,14,0,0,64.29,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Tushar Deshpande,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,33,3,1,0,2,8.20,0,0.0,0
22,Andre Russell,Allrounder,0,0,c Daryl Mitchell b Tushar Deshpande,Daryl Mitchell,10,10,2,0,100.00,1,0,8,0,0,0,1,8.00,0,0.0,0
22,Anukul Roy,Allrounder,0,0,not out,,3,3,0,0,100.00,1.4,0,18,0,0,0,0,10.80,0,0.0,0
22,Mitchell Starc,Bowler,0,0,c Rachin Ravindra b Mustafizur,Rachin Ravindra,0,3,0,0,0.00,3,0,29,0,0,0,2,9.70,0,0.0,0
22,Rachin Ravindra,Allrounder,0,0,c Chakaravarthy b Vaibhav Arora,Varun Chakaravarthy,15,8,3,0,187.50,1,0,4,0,0,0,0,4.00,1,0.0,0
22,Vaibhav Arora,Bowler,0,0,not out,,1,1,0,0,100.00,4,0,28,2,1,0,0,7.00,0,0.0,0
22,Varun Chakaravarthy,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,26,0,0,0,0,6.50,1,0.0,0
22,Mustafizur Rahman,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,22,2,0,1,2,5.50,0,0.0,0
22,Shardul Thakur,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,27,0,0,1,1,9.00,0,0.0,0
22,Ruturaj Gaikwad,Batter,1,0,not out,,67,58,9,0,115.52,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Shivam Dube,Allrounder,0,0,b Vaibhav Arora,Vaibhav Arora,28,18,1,3,155.56,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,MS Dhoni,WK-Batter,0,1,not out,,1,3,0,0,33.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Ajinkya Rahane,Batter,0,0,did not bat,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0
22,Sameer Rizvi,Batter,0,0,did not bat,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0
23,Travis Head,Batter,0,0,c Dhawan b Arshdeep Singh,Shikhar Dhawan,21,15,4,0,140.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
23,Shikhar Dhawan,Batter,1,0,st Klaasen b Bhuvneshwar,Heinrich Klaasen,14,16,2,0,87.50,0.0,0,0,0,0,0,0,0.0,1,0.0,0
23,Abhishek Sharma,Allrounder,0,0,c Shashank Singh b Sam Curran,Shashank Singh,16,11,2,1,145.45,0.0,0,0,0,0,0,0,0.0,1,0.0,0
23,Shashank Singh,Allrounder,0,0,not out,,46,25,6,1,184.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
23,Aiden Markram,Batter,0,0,c Jitesh Sharma b Arshdeep Singh,Jitesh Sharma,0,2,0,0,0.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
23,Jitesh Sharma,WK-Batter,0,1,c Abhishek Sharma b Nitish Reddy,Abhishek Sharma,19,11,1,1,172.73,0.0,0,0,0,0,0,0,0.0,2,0.0,0
23,Nitish Reddy,Allrounder,0,0,c Rabada b Arshdeep Singh,Kagiso Rabada,64,37,4,5,172.97,3,0,33,1,0,0,1,11.00,1,0.0,0
23,Kagiso Rabada,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,32,1,1,0,1,8.00,1,0.0,0
23,Rahul Tripathi,Batter,0,0,c Jitesh Sharma b Harshal Patel,Jitesh Sharma,11,14,1,0,78.57,0.0,0,0,0,0,0,0,0.0,0,0.0,0
23,Heinrich Klaasen,WK-Batter,0,1,c Sam Curran b Harshal Patel,Sam Curran,9,9,1,0,100.00,0.0,0,0,0,0,0,0,0.0,1,0.0,1
23,Sam Curran,Allrounder,0,0,c Cummins b T Natarajan,Pat Cummins,29,22,2,2,131.82,4,0,41,2,0,0,1,10.20,1,0.0,0
23,Abdul Samad,Batter,0,0,c Harshal Patel b Arshdeep Singh,Harshal Patel,25,12,5,0,208.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
23,Harshal Patel,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,30,2,0,0,1,7.50,1,0.0,0
23,Shahbaz Ahmed,Allrounder,0,0,not out,,14,7,1,1,200.00,1,0,10,0,0,0,0,10.00,0,0.0,0
23,Pat Cummins,Bowler,1,0,b Rabada,Kagiso Rabada,3,4,0,0,75.00,4,0,22,1,1,0,0,5.50,1,0.0,0
23,Bhuvneshwar Kumar,Bowler,0,0,c Bairstow b Sam Curran,Jonny Bairstow,6,8,0,0,75.00,4,1,32,2,0,0,2,8.00,0,0.0,0
23,Jonny Bairstow,WK-Batter,0,0,b Cummins,Pat Cummins,0,3,0,0,0.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
23,Jaydev Unadkat,Bowler,0,0,not out,,6,1,0,1,600.00,4,0,49,1,0,0,3,12.20,0,0.0,0
23,T Natarajan,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,33,1,0,0,0,8.20,0,0.0,0
23,Arshdeep Singh,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,29,4,0,0,2,7.20,0,0.0,0
23,Harpreet Brar,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,48,0,0,0,0,12.00,0,0.0,0
23,Prabhsimran Singh,WK-Batter,0,0,c Nitish Reddy b Bhuvneshwar,Nitish Reddy,4,6,1,0,66.67,0.0,0,0,0,0,0,0,0.0,0,0.0,0
23,Sikandar Raza,Allrounder,0,0,c Klaasen b Jaydev Unadkat,Heinrich Klaasen,28,22,2,2,127.27,0.0,0,0,0,0,0,0,0.0,0,0.0,0
23,Ashutosh Sharma,Batter,0,0,not out,,33,15,3,2,220.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Yashasvi Jaiswal,Batter,0,0,c Wade b Umesh,Matthew Wade,24,19,5,0,126.32,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Matthew Wade,WK-Batter,0,1,b Kuldeep Sen,Kuldeep Sen,4,6,0,0,66.67,0.0,0,0,0,0,0,0,0.0,1,0.0,0
24,Jos Buttler,WK-Batter,0,0,c Rahul Tewatia b Rashid Khan,Rahul Tewatia,8,10,0,0,80.00,0.0,0,0,0,0,0,0,0.0,0,0.5,0
24,Rahul Tewatia,Allrounder,0,0,run out (Jos Buttler/Avesh Khan),Jos Buttler/Avesh Khan,22,11,3,0,200.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
24,Sanju Samson,WK-Batter,0,0,not out,,68,38,7,2,178.95,0.0,0,0,0,0,0,0,0.0,0,0.0,1
24,Riyan Parag,Allrounder,0,0,c Vijay Shankar b Mohit Sharma,Vijay Shankar,76,48,3,5,158.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Vijay Shankar,Allrounder,0,0,b Chahal,Yuzvendra Chahal,16,10,3,0,160.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
24,Shimron Hetmyer,Batter,0,0,not out,,13,5,1,1,260.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Dhruv Jurel,WK-Batter,0,0,did not bat,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Ravichandran Ashwin,Allrounder,0,0,did not bat,,0,0,0,0,0.0,4,0,40,0,0,0,0,10.00,0,0.0,0
24,Trent Boult,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,8,0,0,0,0,4.00,0,0.0,0
24,Avesh Khan,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,48,1,1,0,2,12.00,0,0.5,0
24,Kuldeep Sen,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,41,3,3,1,4,10.20,0,0.0,0
24,Yuzvendra Chahal,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,43,2,1,0,1,10.80,0,0.0,0
24,Keshav Maharaj,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,16,0,0,0,0,8.00,0,0.0,0
24,Umesh Yadav,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,47,1,0,0,2,11.80,0,0.0,0
24,Spencer Johnson,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,37,0,0,0,0,9.20,0,0.0,0
24,Rashid Khan,Allrounder,0,0,not out,,24,11,4,0,218.18,4,0,18,1,0,0,0,4.50,0,0.0,0
24,Noor Ahmad,Bowler,0,0,not out,,0,0,0,0,0.00,4,0,43,0,0,0,1,10.80,0,0.0,0
24,Mohit Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,51,1,0,0,4,12.80,0,0.0,0
24,Sai Sudharsan,Batter,0,0,lbw b Kuldeep Sen,Kuldeep Sen,35,29,3,1,120.69,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Shubman Gill,Batter,1,0,st Samson b Chahal,Sanju Samson,72,44,6,2,163.64,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Abhinav Manohar,Batter,0,0,b Kuldeep Sen,Kuldeep Sen,1,2,0,0,50.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
24,Shahrukh Khan,Allrounder,0,0,lbw b Avesh Khan,Avesh Khan,14,8,1,1,175.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
25,Virat Kohli,Batter,0,0,c Ishan Kishan b Bumrah,Ishan Kishan,3,9,0,0,33.33,0.0,0,0,0,0,0,0,0.0,1,0.0,0
