Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
6,Ruturaj Gaikwad,Batter,1,0,c W Saha b Spencer Johnson,Wriddhiman Saha,46,36,5,1,127.78,0.0,0,0,0,0,0,0,0.0,0,0.0,0
6,Wriddhiman Saha,WK-Batter,0,1,c Tushar Deshpande b D Chahar,Tushar Deshpande,21,17,4,0,123.53,0.0,0,0,0,0,0,0,0.0,1,0.5,2
6,Rachin Ravindra,Allrounder,0,0,st W Saha b Rashid Khan,Wriddhiman Saha,46,20,6,3,230.00,0.0,0,0,0,0,0,0,0.0,3,0.0,0
6,Ajinkya Rahane,Batter,0,0,st W Saha b Sai Kishore,Wriddhiman Saha,12,12,0,0,100.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
6,Shivam Dube,Allrounder,0,0,c Vijay Shankar b Rashid Khan,Vijay Shankar,51,23,2,5,221.74,0.0,0,0,0,0,0,0,0.0,0,0.0,0
6,Vijay Shankar,Allrounder,0,0,c Dhoni b Daryl Mitchell,MS Dhoni,12,12,0,1,100.00,0.0,0,0,0,0,0,0,0.0,1,0.5,0
6,Daryl Mitchell,Allrounder,0,0,not out,,24,20,2,0,120.00,2,0,18,1,0,0,1,9.00,0,0.0,0
6,Sameer Rizvi,Batter,0,0,c David Miller b Mohit Sharma,David Miller,14,6,0,2,233.33,0.0,0,0,0,0,0,0,0.0,1,0.0,0
6,David Miller,Batter,0,0,c Ajinkya Rahane b Tushar Deshpande,Ajinkya Rahane,21,16,3,0,131.25,0.0,0,0,0,0,0,0,0.0,1,0.0,0
6,Ravindra Jadeja,Allrounder,0,0,run out (Vijay Shankar/W Saha),Vijay Shankar/Wriddhiman Saha,7,3,1,0,233.33,2,0,15,0,0,0,0,7.50,0,0.0,0
6,MS Dhoni,WK-Batter,0,1,did not bat,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,0
6,Deepak Chahar,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,28,2,1,0,3,7.00,0,0.0,0
6,Tushar Deshpande,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,21,2,0,0,0,5.20,1,0.0,0
6,Mustafizur Rahman,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,30,2,0,0,0,7.50,0,0.0,0
6,Matheesha Pathirana,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,29,1,0,0,5,7.20,0,0.0,0
6,Azmatullah Omarzai,Allrounder,0,0,c Rachin Ravindra b Tushar Deshpande,Rachin Ravindra,11,10,1,0,110.00,3,0,30,0,0,0,1,10.00,0,0.0,0
6,Umesh Yadav,Bowler,0,0,not out,,10,11,0,1,90.91,2,0,27,0,0,0,1,13.50,0,0.0,0
6,Rashid Khan,Allrounder,0,0,c Rachin Ravindra b Mustafizur,Rachin Ravindra,1,2,0,0,50.00,4,0,49,2,0,0,0,12.20,0,0.0,0
6,Ravisrinivasan Sai Kishore,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,28,1,0,0,2,9.30,0,0.0,0
6,Spencer Johnson,Bowler,0,0,not out,,5,5,1,0,100.00,4,0,35,1,0,0,0,8.80,0,0.0,0
6,Mohit Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,36,1,0,0,1,9.00,0,0.0,0
6,Shubman Gill,Batter,1,0,lbw b D Chahar,Deepak Chahar,8,5,0,1,160.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
6,Sai Sudharsan,Batter,0,0,c Sameer Rizvi b Matheesha Pathirana,Sameer Rizvi,37,31,3,0,119.35,0.0,0,0,0,0,0,0,0.0,0,0.0,0
6,Rahul Tewatia,Allrounder,0,0,c Rachin Ravindra b Mustafizur,Rachin Ravindra,6,11,1,0,54.55,0.0,0,0,0,0,0,0,0.0,0,0.0,0
7,Mayank Agarwal,Batter,0,0,c Tim David b Hardik Pandya,Tim David,11,13,1,0,84.62,0.0,0,0,0,0,0,0,0.0,1,0.0,0
7,Tim David,Batter,0,0,not out,,42,22,2,3,190.91,0.0,0,0,0,0,0,0,0.0,1,0.0,0
7,Travis Head,Batter,0,0,c Naman Dhir b Gerald Coetzee,Naman Dhir,62,24,9,3,258.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
7,Naman Dhir,Batter,0,0,c Cummins b Jaydev Unadkat,Pat Cummins,30,14,2,2,214.29,0.0,0,0,0,0,0,0,0.0,2,0.0,0
7,Abhishek Sharma,Allrounder,0,0,c Naman Dhir b Chawla,Naman Dhir,63,23,3,7,273.91,0.0,0,0,0,0,0,0,0.0,1,0.0,0
7,Aiden Markram,Batter,0,0,not out,,42,28,2,1,150.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
7,Heinrich Klaasen,WK-Batter,0,1,not out,,80,34,4,7,235.29,0.0,0,0,0,0,0,0,0.0,1,0.0,0
7,Abdul Samad,Batter,0,0,did not bat,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0
7,Shahbaz Ahmed,Allrounder,0,0,did not bat,,0,0,0,0,0.0,3,0,39,1,0,0,0,13.00,0,0.0,0
7,Pat Cummins,Bowler,1,0,did not bat,,0,0,0,0,0.0,4,0,35,2,0,0,1,8.80,1,0.0,0
7,Bhuvneshwar Kumar,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,53,0,0,0,0,13.20,0,0.0,0
7,Mayank Markande,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,52,0,0,1,1,13.00,0,0.0,0
